Correlation table - 50 periods
ALX fradiani libs generated
Mon, 02 02 2010
pair1,pair2,15min,30min,Hourly
EURCAD,EURUSD,-0.55,-0.33,0.41
EURCAD,CHFJPY,-0.96,-0.63,-0.17
EURCAD,CADJPY,-0.98,-0.83,-0.73
EURCAD,GBPCHF,-0.68,-0.17,0.32
EURCAD,GBPCAD,0.94,0.63,0.71
EURCAD,GBPAUD,0.92,0.71,0.68
EURCAD,EURGBP,0.87,0.24,-0.36
EURCAD,USDCHF,0.61,0.43,-0.42
EURCAD,USDCAD,0.98,0.9,0.57
EURCAD,NZDUSD,-0.96,-0.85,-0.4
EURCAD,CADCHF,-0.98,-0.98,-0.88
EURCAD,GBPJPY,-0.96,-0.86,0.06
EURCAD,EURCHF,0.51,0.38,-0.32
EURCAD,EURAUD,0.96,0.94,0.26
EURCAD,USDJPY,-0.85,-0.68,-0.72
EURCAD,GBPNZD,0.92,0.67,0.7
EURCAD,AUDJPY,-0.97,-0.82,-0.36
EURCAD,AUDCHF,-0.95,-0.92,-0.53
USDCAD,NZDJPY,-0.92,-0.95,-0.89
USDCAD,AUDNZD,-0.21,0.35,0.0
USDCAD,EURNZD,0.93,0.94,0.77
USDCAD,AUDUSD,-0.97,-0.97,-0.71
USDCAD,GBPUSD,-0.9,-0.42,-0.2
USDCAD,NZDCAD,-0.62,-0.76,-0.55
USDCAD,NZDCHF,-0.9,-0.93,-0.52
USDCAD,AUDCAD,-0.7,-0.62,-0.24
USDCAD,EURJPY,-0.89,-0.85,-0.82
USDCAD,EURUSD,-0.72,-0.72,-0.52
USDCAD,CHFJPY,-0.92,-0.88,-0.8
USDCAD,CADJPY,-0.95,-0.97,-0.87
USDCAD,GBPCHF,-0.66,0.21,0.14
USDCAD,GBPCAD,0.9,0.85,0.27
USDCAD,GBPAUD,0.91,0.92,0.66
USDCAD,EURGBP,0.87,-0.15,-0.03
USDCAD,USDCHF,0.74,0.77,0.44
USDCAD,EURCAD,0.98,0.9,0.57
USDCAD,NZDUSD,-0.96,-0.98,-0.94
USDCAD,CADCHF,-0.94,-0.9,-0.31
USDCAD,GBPJPY,-0.92,-0.89,-0.6
USDCAD,EURCHF,0.56,0.25,0.2
USDCAD,EURAUD,0.95,0.9,0.7
USDCAD,USDJPY,-0.74,-0.85,-0.58
USDCAD,GBPNZD,0.89,0.89,0.4
USDCAD,AUDJPY,-0.94,-0.96,-0.9
USDCAD,AUDCHF,-0.93,-0.89,-0.74
NZDUSD,NZDJPY,0.97,0.98,0.89
NZDUSD,AUDNZD,0.12,-0.37,0.08
